GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20
,,22045,Iberia Parish
,,22047,Iberville Parish
,,22051,Jefferson Parish
,,22057,Lafourche Parish
,,22063,Livingston Parish
,,22065,Madison Parish
,,22071,Orleans Parish
,,22075,Plaquemines Parish
,,22077,Pointe Coupee Parish
,,22087,St. Bernard Parish
,,22089,St. Charles Parish
,,22093,St. James Parish
,,22095,St. John the Baptist Parish
,,22099,St. Martin Parish
,,22101,St. Mary Parish
,,22103,St. Tammany Parish
,,22105,Tangipahoa Parish
,,22107,Tensas Parish
,,22109,Terrebonne Parish
,,22113,Vermilion Parish
,,22117,Washington Parish
,,22125,West Feliciana Parish
,,23003,Aroostook County
,,23005,Cumberland County
,,23009,Hancock County
,,23013,Knox County
,,23015,Lincoln County
,,23021,Piscataquis County
,,23023,Sagadahoc County
,,23025,Somerset County
,,23029,Washington County
,,23031,York County
,,24003,Anne Arundel County
,,24005,Baltimore County
,,24009,Calvert County
,,24015,Cecil County
,,24017,Charles County
,,24019,Dorchester County
,,24025,Harford County
,,24029,Kent County
,,24033,Prince George's County
,,24035,Queen Anne's County
,,24037,St. Mary's County
,,24039,Somerset County
,,24041,Talbot County
,,24047,Worcester County
,,25001,Barnstable County
,,25003,Berkshire County
,,25005,Bristol County
,,25007,Dukes County
,,25009,Essex County
,,25019,Nantucket County
,,25021,Norfolk County
,,25023,Plymouth County
,,25025,Suffolk County
,,25027,Worcester County
,,26001,Alcona County
,,26003,Alger County
,,26005,Allegan County
,,26007,Alpena County
,,26009,Antrim County
,,26011,Arenac County
,,26013,Baraga County
,,26017,Bay County
,,26019,Benzie County
,,26021,Berrien County
,,26029,Charlevoix County
,,26031,Cheboygan County
,,26033,Chippewa County
,,26039,Crawford County
,,26041,Delta County
,,26047,Emmet County
,,26053,Gogebic County
,,26055,Grand Traverse County
,,26061,Houghton County
,,26063,Huron County
,,26069,Iosco County
,,26079,Kalkaska County
,,26083,Keweenaw County
,,26089,Leelanau County
,,26095,Luce County
,,26097,Mackinac County
,,26099,Macomb County
,,26101,Manistee County
,,26103,Marquette County
,,26105,Mason County
,,26109,Menominee County
,,26113,Missaukee County
,,26115,Monroe County
,,26119,Montmorency County
,,26121,Muskegon County
,,26127,Oceana County
,,26131,Ontonagon County
,,26135,Oscoda County
,,26139,Ottawa County
,,26141,Presque Isle County
,,26143,Roscommon County
,,26147,St. Clair County
,,26151,Sanilac County
,,26153,Schoolcraft County
,,26157,Tuscola County
,,26159,Van Buren County
,,26163,Wayne County
,,27007,Beltrami County
,,27031,Cook County
,,27075,Lake County
,,27077,Lake of the Woods County
,,27137,St. Louis County
,,28027,Coahoma County
,,28045,Hancock County
,,28047,Harrison County
,,28055,Issaquena County
,,28059,Jackson County
,,28143,Tunica County
,,28151,Washington County
,,30003,Big Horn County
,,30005,Blaine County
,,30029,Flathead County
,,30053,Lincoln County
,,30073,Pondera County
,,30087,Rosebud County
,,32001,Churchill County
,,32003,Clark County
,,32005,Douglas County
,,32007,Elko County
,,32009,Esmeralda County
,,32011,Eureka County
,,32013,Humboldt County
,,32015,Lander County
,,32017,Lincoln County
,,32019,Lyon County
,,32021,Mineral County
,,32023,Nye County
,,32027,Pershing County
,,32029,Storey County
,,32031,Washoe County
,,32033,White Pine County
,,32510,Carson City
,,33015,Rockingham County
,,34001,Atlantic County
,,34005,Burlington County
,,34009,Cape May County
,,34011,Cumberland County
,,34023,Middlesex County
,,34025,Monmouth County
,,34029,Ocean County
,,34033,Salem County
,,35001,Bernalillo County
,,35003,Catron County
,,35006,Cibola County
,,35007,Colfax County
,,35013,Doña Ana County
,,35015,Eddy County
,,35017,Grant County
,,35019,Guadalupe County
,,35025,Lea County
,,35027,Lincoln County
,,35028,Los Alamos County
,,35029,Luna County
,,35031,McKinley County
,,35033,Mora County
,,35035,Otero County
,,35039,Rio Arriba County
,,35043,Sandoval County
,,35045,San Juan County
,,35047,San Miguel County
,,35049,Santa Fe County
,,35051,Sierra County
,,35053,Socorro County
,,35055,Taos County
,,35057,Torrance County
,,35061,Valencia County
,,36005,Bronx County
,,36011,Cayuga County
,,36013,Chautauqua County
,,36019,Clinton County
,,36021,Columbia County
,,36023,Cortland County
,,36027,Dutchess County
,,36029,Erie County
,,36031,Essex County
,,36033,Franklin County
,,36035,Fulton County
,,36041,Hamilton County
,,36045,Jefferson County
,,36047,Kings County
,,36049,Lewis County
,,36055,Monroe County
,,36059,Nassau County
,,36061,New York County
,,36063,Niagara County
,,36065,Oneida County
,,36067,Onondaga County
,,36069,Ontario County
,,36071,Orange County
,,36073,Orleans County
,,36075,Oswego County
,,36079,Putnam County
,,36081,Queens County
,,36085,Richmond County
,,36087,Rockland County
,,36091,Saratoga County
,,36097,Schuyler County
,,36099,Seneca County
,,36101,Steuben County
,,36103,Suffolk County
,,36109,Tompkins County
,,36111,Ulster County
,,36113,Warren County
,,36117,Wayne County
,,36119,Westchester County
,,36123,Yates County
,,37015,Bertie County
,,37019,Brunswick County
,,37029,Camden County
,,37031,Carteret County
,,37041,Chowan County
,,37053,Currituck County
,,37055,Dare County
,,37095,Hyde County
,,37129,New Hanover County
,,37133,Onslow County
,,37137,Pamlico County
,,37139,Pasquotank County
,,37141,Pender County
,,37143,Perquimans County
,,37177,Tyrrell County
,,37187,Washington County
,,39007,Ashtabula County
,,39035,Cuyahoga County
,,39043,Erie County
,,39085,Lake County
,,39093,Lorain County
,,39095,Lucas County
,,39123,Ottawa County
,,39133,Portage County
,,40003,Alfalfa County
,,40031,Comanche County
,,40089,McCurtain County
,,40105,Nowata County
,,40121,Pittsburg County
,,40127,Pushmataha County
,,40131,Rogers County
,,41001,Baker County
,,41005,Clackamas County
,,41007,Clatsop County
,,41009,Columbia County
,,41011,Coos County
,,41013,Crook County
,,41015,Curry County
,,41017,Deschutes County
,,41019,Douglas County
,,41023,Grant County
,,41025,Harney County
,,41027,Hood River County
,,41029,Jackson County
,,41031,Jefferson County
,,41033,Josephine County
,,41035,Klamath County
,,41037,Lake County
,,41039,Lane County
,,41041,Lincoln County
,,41043,Linn County
,,41045,Malheur County
,,41047,Marion County
,,41049,Morrow County
,,41051,Multnomah County
,,41053,Polk County
,,41057,Tillamook County
,,41059,Umatilla County
,,41061,Union County
,,41063,Wallowa County
,,41065,Wasco County
,,41067,Washington County
,,41069,Wheeler County
,,41071,Yamhill County
,,42049,Erie County
,,42055,Franklin County
,,44005,Newport County
,,44009,Washington County
,,45003,Aiken County
,,45011,Barnwell County
,,45013,Beaufort County
,,45019,Charleston County
,,45029,Colleton County
,,45043,Georgetown County
,,45051,Horry County
,,45053,Jasper County
,,47013,Campbell County
,,47025,Claiborne County
,,47035,Cumberland County
,,47125,Montgomery County
,,47137,Pickett County
,,47139,Polk County
,,47151,Scott County
,,47157,Shelby County
,,47161,Stewart County
,,47173,Union County
,,47175,Van Buren County
,,47185,White County
,,48003,Andrews County
,,48007,Aransas County
,,48011,Armstrong County
,,48017,Bailey County
,,48023,Baylor County
,,48027,Bell County
,,48029,Bexar County
,,48033,Borden County
,,48037,Bowie County
,,48039,Brazoria County
,,48043,Brewster County
,,48045,Briscoe County
,,48047,Brooks County
,,48057,Calhoun County
,,48059,Callahan County
,,48061,Cameron County
,,48065,Carson County
,,48071,Chambers County
,,48075,Childress County
,,48079,Cochran County
,,48081,Coke County
,,48087,Collingsworth County
,,48095,Concho County
,,48099,Coryell County
,,48101,Cottle County
,,48103,Crane County
,,48105,Crockett County
,,48107,Crosby County
,,48109,Culberson County
,,48111,Dallam County
,,48115,Dawson County
,,48117,Deaf Smith County
,,48125,Dickens County
,,48127,Dimmit County
,,48129,Donley County
,,48131,Duval County
,,48135,Ector County
,,48141,El Paso County
,,48153,Floyd County
,,48155,Foard County
,,48165,Gaines County
,,48167,Galveston County
,,48169,Garza County
,,48173,Glasscock County
,,48179,Gray County
,,48181,Grayson County
,,48189,Hale County
,,48191,Hall County
,,48197,Hardeman County
,,48201,Harris County
,,48205,Hartley County
,,48207,Haskell County
,,48211,Hemphill County
,,48215,Hidalgo County
,,48219,Hockley County
,,48227,Howard County
,,48229,Hudspeth County
,,48233,Hutchinson County
,,48235,Irion County
,,48243,Jeff Davis County
,,48245,Jefferson County
,,48247,Jim Hogg County
,,48249,Jim Wells County
,,48253,Jones County
,,48261,Kenedy County
,,48263,Kent County
,,48269,King County
,,48271,Kinney County
,,48273,Kleberg County
,,48275,Knox County
,,48279,Lamb County
,,48283,La Salle County
,,48295,Lipscomb County
,,48301,Loving County
,,48305,Lynn County
,,48311,McMullen County
,,48317,Martin County
,,48321,Matagorda County
,,48323,Maverick County
,,48329,Midland County
,,48335,Mitchell County
,,48341,Moore County
,,48345,Motley County
,,48353,Nolan County
,,48355,Nueces County
,,48359,Oldham County
,,48361,Orange County
,,48371,Pecos County
,,48375,Potter County
,,48377,Presidio County
,,48383,Reagan County
,,48389,Reeves County
,,48391,Refugio County
,,48393,Roberts County
,,48399,Runnels County
,,48407,San Jacinto County
,,48409,San Patricio County
,,48413,Schleicher County
,,48415,Scurry County
,,48417,Shackelford County
,,48421,Sherman County
,,48427,Starr County
,,48431,Sterling County
,,48433,Stonewall County
,,48435,Sutton County
,,48437,Swisher County
,,48443,Terrell County
,,48445,Terry County
,,48447,Throckmorton County
,,48451,Tom Green County
,,48461,Upton County
,,48463,Uvalde County
,,48465,Val Verde County
,,48475,Ward County
,,48479,Webb County
,,48483,Wheeler County
,,48485,Wichita County
,,48487,Wilbarger County
,,48489,Willacy County
,,48495,Winkler County
,,48501,Yoakum County
,,48505,Zapata County
,,48507,Zavala County
,,49001,Beaver County
,,49003,Box Elder County
,,49005,Cache County
,,49007,Carbon County
,,49009,Daggett County
,,49011,Davis County
,,49013,Duchesne County
,,49015,Emery County
,,49017,Garfield County
,,49019,Grand County
,,49021,Iron County
,,49023,Juab County
,,49025,Kane County
,,49027,Millard County
,,49029,Morgan County
,,49031,Piute County
,,49033,Rich County
,,49035,Salt Lake County
,,49037,San Juan County
,,49039,Sanpete County
,,49041,Sevier County
,,49043,Summit County
,,49045,Tooele County
,,49047,Uintah County
,,49049,Utah County
,,49051,Wasatch County
,,49053,Washington County
,,49055,Wayne County
,,49057,Weber County
,,51001,Accomack County
,,51103,Lancaster County
,,51115,Mathews County
,,51119,Middlesex County
,,51131,Northampton County
,,51133,Northumberland County
,,51199,York County
,,51650,Hampton city
,,51710,Norfolk city
,,51735,Poquoson city
,,51810,Virginia Beach city
,,53007,Chelan County
,,53009,Clallam County
,,53015,Cowlitz County
,,53027,Grays Harbor County
,,53029,Island County
,,53031,Jefferson County
,,53033,King County
,,53035,Kitsap County
,,53037,Kittitas County
,,53039,Klickitat County
,,53041,Lewis County
,,53045,Mason County
,,53047,Okanogan County
,,53049,Pacific County
,,53053,Pierce County
,,53055,San Juan County
,,53057,Skagit County
,,53059,Skamania County
,,53061,Snohomish County
,,53067,Thurston County
,,53069,Wahkiakum County
,,53073,Whatcom County
,,53077,Yakima County
,,55003,Ashland County
,,55007,Bayfield County
,,55009,Brown County
,,55015,Calumet County
,,55023,Crawford County
,,55025,Dane County
,,55029,Door County
,,55031,Douglas County
,,55039,Fond du Lac County
,,55051,Iron County
,,55057,Juneau County
,,55059,Kenosha County
,,55061,Kewaunee County
,,55063,La Crosse County
,,55071,Manitowoc County
,,55075,Marinette County
,,55078,Menominee County
,,55079,Milwaukee County
,,55083,Oconto County
,,55089,Ozaukee County
,,55101,Racine County
,,55117,Sheboygan County
,,55121,Trempealeau County
,,55123,Vernon County
,,55137,Waushara County
,,55139,Winnebago County
,,56001,Albany County
,,56003,Big Horn County
,,56005,Campbell County
,,56007,Carbon County
,,56009,Converse County
,,56011,Crook County
,,56013,Fremont County
,,56017,Hot Springs County
,,56019,Johnson County
,,56021,Laramie County
,,56023,Lincoln County
,,56025,Natrona County
,,56027,Niobrara County
,,56029,Park County
,,56031,Platte County
,,56033,Sheridan County
,,56035,Sublette County
,,56037,Sweetwater County
,,56039,Teton County
,,56041,Uinta County
,,56043,Washakie County
,,56045,Weston County
,,60010,Eastern District
,,60020,Manu'a District
,,60030,Rose Island
,,60040,Swains Island
,,60050,Western District
,,66010,Guam
,,69085,Northern Islands Municipality
,,69100,Rota Municipality
,,69110,Saipan Municipality
,,69120,Tinian Municipality
,,72003,Aguada Municipio
,,72005,Aguadilla Municipio
,,72011,Añasco Municipio
,,72013,Arecibo Municipio
,,72015,Arroyo Municipio
,,72017,Barceloneta Municipio
,,72023,Cabo Rojo Municipio
,,72027,Camuy Municipio
,,72031,Carolina Municipio
,,72037,Ceiba Municipio
,,72049,Culebra Municipio
,,72051,Dorado Municipio
,,72053,Fajardo Municipio
,,72055,Guánica Municipio
,,72057,Guayama Municipio
,,72059,Guayanilla Municipio
,,72065,Hatillo Municipio
,,72069,Humacao Municipio
,,72071,Isabela Municipio
,,72075,Juana Díaz Municipio
,,72079,Lajas Municipio
,,72087,Loíza Municipio
,,72089,Luquillo Municipio
,,72091,Manatí Municipio
,,72095,Maunabo Municipio
,,72097,Mayagüez Municipio
,,72103,Naguabo Municipio
,,72109,Patillas Municipio
,,72111,Peñuelas Municipio
,,72113,Ponce Municipio
,,72115,Quebradillas Municipio
,,72117,Rincón Municipio
,,72119,Río Grande Municipio
,,72123,Salinas Municipio
,,72127,San Juan Municipio
,,72133,Santa Isabel Municipio
,,72137,Toa Baja Municipio
,,72143,Vega Alta Municipio
,,72145,Vega Baja Municipio
,,72147,Vieques Municipio
,,72151,Yabucoa Municipio
,,78010,St. Croix Island
,,78020,St. John Island
,,78030,St. Thomas Island
00601,ZCTA5 00601,72001,Adjuntas Municipio
00601,ZCTA5 00601,72141,Utuado Municipio
00602,ZCTA5 00602,72003,Aguada Municipio
00602,ZCTA5 00602,72011,Añasco Municipio
00603,ZCTA5 00603,72005,Aguadilla Municipio
00603,ZCTA5 00603,72099,Moca Municipio
00606,ZCTA5 00606,72093,Maricao Municipio
00606,ZCTA5 00606,72121,Sabana Grande Municipio
00606,ZCTA5 00606,72153,Yauco Municipio
00610,ZCTA5 00610,72003,Aguada Municipio
00610,ZCTA5 00610,72011,Añasco Municipio
00610,ZCTA5 00610,72083,Las Marías Municipio
00610,ZCTA5 00610,72099,Moca Municipio
00611,ZCTA5 00611,72141,Utuado Municipio
00612,ZCTA5 00612,72013,Arecibo Municipio
00612,ZCTA5 00612,72017,Barceloneta Municipio
00612,ZCTA5 00612,72065,Hatillo Municipio
00616,ZCTA5 00616,72013,Arecibo Municipio
00617,ZCTA5 00617,72017,Barceloneta Municipio
00617,ZCTA5 00617,72054,Florida Municipio
00622,ZCTA5 00622,72023,Cabo Rojo Municipio
00623,ZCTA5 00623,72023,Cabo Rojo Municipio
00624,ZCTA5 00624,72111,Peñuelas Municipio
00624,ZCTA5 00624,72113,Ponce Municipio
00627,ZCTA5 00627,72027,Camuy Municipio
00627,ZCTA5 00627,72115,Quebradillas Municipio
00631,ZCTA5 00631,72001,Adjuntas Municipio
00631,ZCTA5 00631,72081,Lares Municipio
00636,ZCTA5 00636,72125,San Germán Municipio
00637,ZCTA5 00637,72079,Lajas Municipio
00637,ZCTA5 00637,72121,Sabana Grande Municipio
00637,ZCTA5 00637,72125,San Germán Municipio
00638,ZCTA5 00638,72039,Ciales Municipio
00638,ZCTA5 00638,72091,Manatí Municipio
00638,ZCTA5 00638,72107,Orocovis Municipio
00641,ZCTA5 00641,72001,Adjuntas Municipio
00641,ZCTA5 00641,72141,Utuado Municipio
00646,ZCTA5 00646,72051,Dorado Municipio
00646,ZCTA5 00646,72143,Vega Alta Municipio
00647,ZCTA5 00647,72055,Guánica Municipio
00647,ZCTA5 00647,72079,Lajas Municipio
00650,ZCTA5 00650,72013,Arecibo Municipio
00650,ZCTA5 00650,72017,Barceloneta Municipio
00650,ZCTA5 00650,72039,Ciales Municipio
00650,ZCTA5 00650,72054,Florida Municipio
00650,ZCTA5 00650,72091,Manatí Municipio
00650,ZCTA5 00650,72141,Utuado Municipio
00652,ZCTA5 00652,72013,Arecibo Municipio
00653,ZCTA5 00653,72055,Guánica Municipio
00653,ZCTA5 00653,72121,Sabana Grande Municipio
00656,ZCTA5 00656,72059,Guayanilla Municipio
00656,ZCTA5 00656,72153,Yauco Municipio
00659,ZCTA5 00659,72065,Hatillo Municipio
00660,ZCTA5 00660,72067,Hormigueros Municipio
00662,ZCTA5 00662,72071,Isabela Municipio
00664,ZCTA5 00664,72073,Jayuya Municipio
00664,ZCTA5 00664,72141,Utuado Municipio
00667,ZCTA5 00667,72079,Lajas Municipio
00667,ZCTA5 00667,72125,San Germán Municipio
00669,ZCTA5 00669,72081,Lares Municipio
00669,ZCTA5 00669,72083,Las Marías Municipio
00669,ZCTA5 00669,72131,San Sebastián Municipio
00669,ZCTA5 00669,72141,Utuado Municipio
00670,ZCTA5 00670,72011,Añasco Municipio
00670,ZCTA5 00670,72083,Las Marías Municipio
00670,ZCTA5 00670,72093,Maricao Municipio
00670,ZCTA5 00670,72097,Mayagüez Municipio
00674,ZCTA5 00674,72091,Manatí Municipio
00674,ZCTA5 00674,72145,Vega Baja Municipio
00676,ZCTA5 00676,72003,Aguada Municipio
00676,ZCTA5 00676,72005,Aguadilla Municipio
00676,ZCTA5 00676,72099,Moca Municipio
00677,ZCTA5 00677,72003,Aguada Municipio
00677,ZCTA5 00677,72011,Añasco Municipio
00677,ZCTA5 00677,72117,Rincón Municipio
00678,ZCTA5 00678,72071,Isabela Municipio
00678,ZCTA5 00678,72115,Quebradillas Municipio
00678,ZCTA5 00678,72131,San Sebastián Municipio
00680,ZCTA5 00680,72011,Añasco Municipio
00680,ZCTA5 00680,72097,Mayagüez Municipio
00680,ZCTA5 00680,72125,San Germán Municipio
00682,ZCTA5 00682,72067,Hormigueros Municipio
00682,ZCTA5 00682,72097,Mayagüez Municipio
00683,ZCTA5 00683,72125,San Germán Municipio
00685,ZCTA5 00685,72071,Isabela Municipio
00685,ZCTA5 00685,72099,Moca Municipio
00685,ZCTA5 00685,72131,San Sebastián Municipio
00687,ZCTA5 00687,72101,Morovis Municipio
00688,ZCTA5 00688,72013,Arecibo Municipio
00690,ZCTA5 00690,72005,Aguadilla Municipio
00692,ZCTA5 00692,72143,Vega Alta Municipio
00692,ZCTA5 00692,72145,Vega Baja Municipio
00693,ZCTA5 00693,72091,Manatí Municipio
00693,ZCTA5 00693,72143,Vega Alta Municipio
00693,ZCTA5 00693,72145,Vega Baja Municipio
00694,ZCTA5 00694,72145,Vega Baja Municipio
00698,ZCTA5 00698,72059,Guayanilla Municipio
00698,ZCTA5 00698,72153,Yauco Municipio
00703,ZCTA5 00703,72007,Aguas Buenas Municipio
00703,ZCTA5 00703,72041,Cidra Municipio
00703,ZCTA5 00703,72045,Comerío Municipio
00704,ZCTA5 00704,72057,Guayama Municipio
00704,ZCTA5 00704,72123,Salinas Municipio
00705,ZCTA5 00705,72009,Aibonito Municipio
00705,ZCTA5 00705,72043,Coamo Municipio
00707,ZCTA5 00707,72095,Maunabo Municipio
00714,ZCTA5 00714,72015,Arroyo Municipio
00715,ZCTA5 00715,72075,Juana Díaz Municipio
00715,ZCTA5 00715,72113,Ponce Municipio
00716,ZCTA5 00716,72113,Ponce Municipio
00717,ZCTA5 00717,72113,Ponce Municipio
00718,ZCTA5 00718,72037,Ceiba Municipio
00718,ZCTA5 00718,72103,Naguabo Municipio
00719,ZCTA5 00719,72045,Comerío Municipio
00719,ZCTA5 00719,72047,Corozal Municipio
00719,ZCTA5 00719,72105,Naranjito Municipio
00719,ZCTA5 00719,72135,Toa Alta Municipio
00720,ZCTA5 00720,72043,Coamo Municipio
00720,ZCTA5 00720,72107,Orocovis Municipio
00723,ZCTA5 00723,72015,Arroyo Municipio
00723,ZCTA5 00723,72095,Maunabo Municipio
00723,ZCTA5 00723,72109,Patillas Municipio
00725,ZCTA5 00725,72007,Aguas Buenas Municipio
00725,ZCTA5 00725,72025,Caguas Municipio
00725,ZCTA5 00725,72061,Guaynabo Municipio
00725,ZCTA5 00725,72127,San Juan Municipio
00725,ZCTA5 00725,72129,San Lorenzo Municipio
00725,ZCTA5 00725,72139,Trujillo Alto Municipio
00727,ZCTA5 00727,72025,Caguas Municipio
00728,ZCTA5 00728,72113,Ponce Municipio
00729,ZCTA5 00729,72029,Canóvanas Municipio
00729,ZCTA5 00729,72087,Loíza Municipio
