geoid,name,county_name,state,state_name,county_short,DMA,county_upper,cbsa_code,cbsa_title
19041,"Clay County, Iowa",Clay County,IA,Iowa,Clay,NA,CLAY,43980,"Spencer, IA"
19055,"Delaware County, Iowa",Delaware County,IA,Iowa,Delaware,NA,DELAWARE,NA,NA
13005,"Bacon County, Georgia",Bacon County,GA,Georgia,Bacon,NA,BACON,NA,NA
13025,"Brantley County, Georgia",Brantley County,GA,Georgia,Brantley,NA,BRANTLEY,15260,"Brunswick, GA"
13017,"Ben Hill County, Georgia",Ben Hill County,GA,Georgia,Ben Hill,NA,BEN HILL,22340,"Fitzgerald, GA"
13033,"Burke County, Georgia",Burke County,GA,Georgia,Burke,NA,BURKE,12260,"Augusta-Richmond County, GA-SC"
13047,"Catoosa County, Georgia",Catoosa County,GA,Georgia,Catoosa,NA,CATOOSA,16860,"Chattanooga, TN-GA"
13053,"Chattahoochee County, Georgia",Chattahoochee County,GA,Georgia,Chattahoochee,NA,CHATTAHOOCHEE,17980,"Columbus, GA-AL"
13055,"Chattooga County, Georgia",Chattooga County,GA,Georgia,Chattooga,NA,CHATTOOGA,44900,"Summerville, GA"
13073,"Columbia County, Georgia",Columbia County,GA,Georgia,Columbia,NA,COLUMBIA,12260,"Augusta-Richmond County, GA-SC"
13087,"Decatur County, Georgia",Decatur County,GA,Georgia,Decatur,NA,DECATUR,12460,"Bainbridge, GA"
13115,"Floyd County, Georgia",Floyd County,GA,Georgia,Floyd,NA,FLOYD,40660,"Rome, GA"
13117,"Forsyth County, Georgia",Forsyth County,GA,Georgia,Forsyth,NA,FORSYTH,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13137,"Habersham County, Georgia",Habersham County,GA,Georgia,Habersham,NA,HABERSHAM,18460,"Cornelia, GA"
13147,"Hart County, Georgia",Hart County,GA,Georgia,Hart,NA,HART,NA,NA
13185,"Lowndes County, Georgia",Lowndes County,GA,Georgia,Lowndes,NA,LOWNDES,46660,"Valdosta, GA"
13191,"McIntosh County, Georgia",McIntosh County,GA,Georgia,McIntosh,NA,MCINTOSH,15260,"Brunswick, GA"
13199,"Meriwether County, Georgia",Meriwether County,GA,Georgia,Meriwether,NA,MERIWETHER,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13207,"Monroe County, Georgia",Monroe County,GA,Georgia,Monroe,NA,MONROE,31420,"Macon-Bibb County, GA"
13237,"Putnam County, Georgia",Putnam County,GA,Georgia,Putnam,NA,PUTNAM,NA,NA
13261,"Sumter County, Georgia",Sumter County,GA,Georgia,Sumter,NA,SUMTER,11140,"Americus, GA"
13265,"Taliaferro County, Georgia",Taliaferro County,GA,Georgia,Taliaferro,NA,TALIAFERRO,NA,NA
13301,"Warren County, Georgia",Warren County,GA,Georgia,Warren,NA,WARREN,NA,NA
19185,"Wayne County, Iowa",Wayne County,IA,Iowa,Wayne,NA,WAYNE,NA,NA
19163,"Scott County, Iowa",Scott County,IA,Iowa,Scott,NA,SCOTT,19340,"Davenport-Moline-Rock Island, IA-IL"
20181,"Sherman County, Kansas",Sherman County,KS,Kansas,Sherman,NA,SHERMAN,NA,NA
20193,"Thomas County, Kansas",Thomas County,KS,Kansas,Thomas,NA,THOMAS,NA,NA
20127,"Morris County, Kansas",Morris County,KS,Kansas,Morris,NA,MORRIS,NA,NA
20163,"Rooks County, Kansas",Rooks County,KS,Kansas,Rooks,NA,ROOKS,NA,NA
20025,"Clark County, Kansas",Clark County,KS,Kansas,Clark,NA,CLARK,NA,NA
20077,"Harper County, Kansas",Harper County,KS,Kansas,Harper,NA,HARPER,NA,NA
20111,"Lyon County, Kansas",Lyon County,KS,Kansas,Lyon,NA,LYON,21380,"Emporia, KS"
20145,"Pawnee County, Kansas",Pawnee County,KS,Kansas,Pawnee,NA,PAWNEE,NA,NA
20033,"Comanche County, Kansas",Comanche County,KS,Kansas,Comanche,NA,COMANCHE,NA,NA
20063,"Gove County, Kansas",Gove County,KS,Kansas,Gove,NA,GOVE,NA,NA
20079,"Harvey County, Kansas",Harvey County,KS,Kansas,Harvey,NA,HARVEY,48620,"Wichita, KS"
20093,"Kearny County, Kansas",Kearny County,KS,Kansas,Kearny,NA,KEARNY,23780,"Garden City, KS"
20113,"McPherson County, Kansas",McPherson County,KS,Kansas,McPherson,NA,MCPHERSON,32700,"McPherson, KS"
05041,"Desha County, Arkansas",Desha County,AR,Arkansas,Desha,NA,DESHA,NA,NA
05049,"Fulton County, Arkansas",Fulton County,AR,Arkansas,Fulton,NA,FULTON,NA,NA
05061,"Howard County, Arkansas",Howard County,AR,Arkansas,Howard,NA,HOWARD,NA,NA
05051,"Garland County, Arkansas",Garland County,AR,Arkansas,Garland,NA,GARLAND,26300,"Hot Springs, AR"
05093,"Mississippi County, Arkansas",Mississippi County,AR,Arkansas,Mississippi,NA,MISSISSIPPI,14180,"Blytheville, AR"
05115,"Pope County, Arkansas",Pope County,AR,Arkansas,Pope,NA,POPE,40780,"Russellville, AR"
05117,"Prairie County, Arkansas",Prairie County,AR,Arkansas,Prairie,NA,PRAIRIE,NA,NA
05139,"Union County, Arkansas",Union County,AR,Arkansas,Union,NA,UNION,20980,"El Dorado, AR"
05147,"Woodruff County, Arkansas",Woodruff County,AR,Arkansas,Woodruff,NA,WOODRUFF,NA,NA
05023,"Cleburne County, Arkansas",Cleburne County,AR,Arkansas,Cleburne,NA,CLEBURNE,NA,NA
05025,"Cleveland County, Arkansas",Cleveland County,AR,Arkansas,Cleveland,NA,CLEVELAND,38220,"Pine Bluff, AR"
05067,"Jackson County, Arkansas",Jackson County,AR,Arkansas,Jackson,NA,JACKSON,NA,NA
05057,"Hempstead County, Arkansas",Hempstead County,AR,Arkansas,Hempstead,NA,HEMPSTEAD,26260,"Hope, AR"
05135,"Sharp County, Arkansas",Sharp County,AR,Arkansas,Sharp,NA,SHARP,12900,"Batesville, AR"
05137,"Stone County, Arkansas",Stone County,AR,Arkansas,Stone,NA,STONE,NA,NA
05143,"Washington County, Arkansas",Washington County,AR,Arkansas,Washington,NA,WASHINGTON,22220,"Fayetteville-Springdale-Rogers, AR"
05005,"Baxter County, Arkansas",Baxter County,AR,Arkansas,Baxter,NA,BAXTER,34260,"Mountain Home, AR"
05003,"Ashley County, Arkansas",Ashley County,AR,Arkansas,Ashley,NA,ASHLEY,NA,NA
05031,"Craighead County, Arkansas",Craighead County,AR,Arkansas,Craighead,NA,CRAIGHEAD,27860,"Jonesboro, AR"
05055,"Greene County, Arkansas",Greene County,AR,Arkansas,Greene,NA,GREENE,37500,"Paragould, AR"
05105,"Perry County, Arkansas",Perry County,AR,Arkansas,Perry,NA,PERRY,30780,"Little Rock-North Little Rock-Conway, AR"
05111,"Poinsett County, Arkansas",Poinsett County,AR,Arkansas,Poinsett,NA,POINSETT,27860,"Jonesboro, AR"
05133,"Sevier County, Arkansas",Sevier County,AR,Arkansas,Sevier,NA,SEVIER,NA,NA
05013,"Calhoun County, Arkansas",Calhoun County,AR,Arkansas,Calhoun,NA,CALHOUN,15780,"Camden, AR"
05019,"Clark County, Arkansas",Clark County,AR,Arkansas,Clark,NA,CLARK,11660,"Arkadelphia, AR"
05075,"Lawrence County, Arkansas",Lawrence County,AR,Arkansas,Lawrence,NA,LAWRENCE,NA,NA
05095,"Monroe County, Arkansas",Monroe County,AR,Arkansas,Monroe,NA,MONROE,NA,NA
05029,"Conway County, Arkansas",Conway County,AR,Arkansas,Conway,NA,CONWAY,NA,NA
05101,"Newton County, Arkansas",Newton County,AR,Arkansas,Newton,NA,NEWTON,25460,"Harrison, AR"
05001,"Arkansas County, Arkansas",Arkansas County,AR,Arkansas,Arkansas,NA,ARKANSAS,NA,NA
05085,"Lonoke County, Arkansas",Lonoke County,AR,Arkansas,Lonoke,NA,LONOKE,30780,"Little Rock-North Little Rock-Conway, AR"
05015,"Carroll County, Arkansas",Carroll County,AR,Arkansas,Carroll,NA,CARROLL,NA,NA
05123,"St. Francis County, Arkansas",St. Francis County,AR,Arkansas,St. Francis,NA,ST FRANCIS,22620,"Forrest City, AR"
05119,"Pulaski County, Arkansas",Pulaski County,AR,Arkansas,Pulaski,NA,PULASKI,30780,"Little Rock-North Little Rock-Conway, AR"
06047,"Merced County, California",Merced County,CA,California,Merced,FRESNO,MERCED,32900,"Merced, CA"
06043,"Mariposa County, California",Mariposa County,CA,California,Mariposa,FRESNO,MARIPOSA,NA,NA
06049,"Modoc County, California",Modoc County,CA,California,Modoc,NA,MODOC,NA,NA
06013,"Contra Costa County, California",Contra Costa County,CA,California,Contra Costa,SAN FRANCISCO,CONTRA COSTA,41860,"San Francisco-Oakland-Berkeley, CA"
06027,"Inyo County, California",Inyo County,CA,California,Inyo,NA,INYO,NA,NA
06099,"Stanislaus County, California",Stanislaus County,CA,California,Stanislaus,NA,STANISLAUS,33700,"Modesto, CA"
06083,"Santa Barbara County, California",Santa Barbara County,CA,California,Santa Barbara,NA,SANTA BARBARA,42200,"Santa Maria-Santa Barbara, CA"
06103,"Tehama County, California",Tehama County,CA,California,Tehama,NA,TEHAMA,39780,"Red Bluff, CA"
06051,"Mono County, California",Mono County,CA,California,Mono,NA,MONO,NA,NA
06069,"San Benito County, California",San Benito County,CA,California,San Benito,NA,SAN BENITO,41940,"San Jose-Sunnyvale-Santa Clara, CA"
13029,"Bryan County, Georgia",Bryan County,GA,Georgia,Bryan,NA,BRYAN,42340,"Savannah, GA"
13035,"Butts County, Georgia",Butts County,GA,Georgia,Butts,NA,BUTTS,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13039,"Camden County, Georgia",Camden County,GA,Georgia,Camden,NA,CAMDEN,41220,"St. Marys, GA"
13079,"Crawford County, Georgia",Crawford County,GA,Georgia,Crawford,NA,CRAWFORD,31420,"Macon-Bibb County, GA"
13099,"Early County, Georgia",Early County,GA,Georgia,Early,NA,EARLY,NA,NA
13069,"Coffee County, Georgia",Coffee County,GA,Georgia,Coffee,NA,COFFEE,20060,"Douglas, GA"
13077,"Coweta County, Georgia",Coweta County,GA,Georgia,Coweta,NA,COWETA,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13123,"Gilmer County, Georgia",Gilmer County,GA,Georgia,Gilmer,NA,GILMER,NA,NA
13297,"Walton County, Georgia",Walton County,GA,Georgia,Walton,NA,WALTON,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13317,"Wilkes County, Georgia",Wilkes County,GA,Georgia,Wilkes,NA,WILKES,NA,NA
13091,"Dodge County, Georgia",Dodge County,GA,Georgia,Dodge,NA,DODGE,NA,NA
13129,"Gordon County, Georgia",Gordon County,GA,Georgia,Gordon,NA,GORDON,15660,"Calhoun, GA"
13057,"Cherokee County, Georgia",Cherokee County,GA,Georgia,Cherokee,NA,CHEROKEE,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13113,"Fayette County, Georgia",Fayette County,GA,Georgia,Fayette,NA,FAYETTE,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13177,"Lee County, Georgia",Lee County,GA,Georgia,Lee,NA,LEE,10500,"Albany, GA"
13227,"Pickens County, Georgia",Pickens County,GA,Georgia,Pickens,NA,PICKENS,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13133,"Greene County, Georgia",Greene County,GA,Georgia,Greene,NA,GREENE,NA,NA
13075,"Cook County, Georgia",Cook County,GA,Georgia,Cook,NA,COOK,NA,NA
13085,"Dawson County, Georgia",Dawson County,GA,Georgia,Dawson,NA,DAWSON,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13121,"Fulton County, Georgia",Fulton County,GA,Georgia,Fulton,NA,FULTON,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
15001,"Hawaii County, Hawaii",Hawaii County,HI,Hawaii,Hawaii,NA,HAWAII,25900,"Hilo, HI"
15003,"Honolulu County, Hawaii",Honolulu County,HI,Hawaii,Honolulu,NA,HONOLULU,46520,"Urban Honolulu, HI"
15007,"Kauai County, Hawaii",Kauai County,HI,Hawaii,Kauai,NA,KAUAI,28180,"Kapaa, HI"
15005,"Kalawao County, Hawaii",Kalawao County,HI,Hawaii,Kalawao,NA,KALAWAO,NA,NA
16031,"Cassia County, Idaho",Cassia County,ID,Idaho,Cassia,NA,CASSIA,15420,"Burley, ID"
16063,"Lincoln County, Idaho",Lincoln County,ID,Idaho,Lincoln,NA,LINCOLN,NA,NA
16085,"Valley County, Idaho",Valley County,ID,Idaho,Valley,NA,VALLEY,NA,NA
16041,"Franklin County, Idaho",Franklin County,ID,Idaho,Franklin,NA,FRANKLIN,30860,"Logan, UT-ID"
16069,"Nez Perce County, Idaho",Nez Perce County,ID,Idaho,Nez Perce,NA,NEZ PERCE,30300,"Lewiston, ID-WA"
16055,"Kootenai County, Idaho",Kootenai County,ID,Idaho,Kootenai,NA,KOOTENAI,17660,"Coeur d'Alene, ID"
16067,"Minidoka County, Idaho",Minidoka County,ID,Idaho,Minidoka,NA,MINIDOKA,15420,"Burley, ID"
16083,"Twin Falls County, Idaho",Twin Falls County,ID,Idaho,Twin Falls,NA,TWIN FALLS,46300,"Twin Falls, ID"
16013,"Blaine County, Idaho",Blaine County,ID,Idaho,Blaine,NA,BLAINE,25200,"Hailey, ID"
16015,"Boise County, Idaho",Boise County,ID,Idaho,Boise,NA,BOISE,14260,"Boise City, ID"
16023,"Butte County, Idaho",Butte County,ID,Idaho,Butte,NA,BUTTE,26820,"Idaho Falls, ID"
16047,"Gooding County, Idaho",Gooding County,ID,Idaho,Gooding,NA,GOODING,NA,NA
16001,"Ada County, Idaho",Ada County,ID,Idaho,Ada,NA,ADA,14260,"Boise City, ID"
16007,"Bear Lake County, Idaho",Bear Lake County,ID,Idaho,Bear Lake,NA,BEAR LAKE,NA,NA
16011,"Bingham County, Idaho",Bingham County,ID,Idaho,Bingham,NA,BINGHAM,13940,"Blackfoot, ID"
16025,"Camas County, Idaho",Camas County,ID,Idaho,Camas,NA,CAMAS,25200,"Hailey, ID"
16035,"Clearwater County, Idaho",Clearwater County,ID,Idaho,Clearwater,NA,CLEARWATER,NA,NA
16051,"Jefferson County, Idaho",Jefferson County,ID,Idaho,Jefferson,NA,JEFFERSON,26820,"Idaho Falls, ID"
41039,"Lane County, Oregon",Lane County,OR,Oregon,Lane,NA,LANE,21660,"Eugene-Springfield, OR"
51181,"Surry County, Virginia",Surry County,VA,Virginia,Surry,NA,SURRY,NA,NA
51043,"Clarke County, Virginia",Clarke County,VA,Virginia,Clarke,NA,CLARKE,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51117,"Mecklenburg County, Virginia",Mecklenburg County,VA,Virginia,Mecklenburg,RALEIGH,MECKLENBURG,NA,NA
51015,"Augusta County, Virginia",Augusta County,VA,Virginia,Augusta,NA,AUGUSTA,44420,"Staunton, VA"
51075,"Goochland County, Virginia",Goochland County,VA,Virginia,Goochland,NA,GOOCHLAND,40060,"Richmond, VA"
51113,"Madison County, Virginia",Madison County,VA,Virginia,Madison,NA,MADISON,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51161,"Roanoke County, Virginia",Roanoke County,VA,Virginia,Roanoke,NA,ROANOKE,40220,"Roanoke, VA"
51025,"Brunswick County, Virginia",Brunswick County,VA,Virginia,Brunswick,NA,BRUNSWICK,NA,NA
51131,"Northampton County, Virginia",Northampton County,VA,Virginia,Northampton,NA,NORTHAMPTON,NA,NA
51163,"Rockbridge County, Virginia",Rockbridge County,VA,Virginia,Rockbridge,NA,ROCKBRIDGE,NA,NA
51720,"Norton city, Virginia",Norton,VA,Virginia,Norton City,NA,NORTON CITY,13720,"Big Stone Gap, VA"
51570,"Colonial Heights city, Virginia",Colonial Heights,VA,Virginia,Colonial Heights City,NA,COLONIAL HEIGHTS CITY,40060,"Richmond, VA"
51021,"Bland County, Virginia",Bland County,VA,Virginia,Bland,NA,BLAND,14140,"Bluefield, WV-VA"
51023,"Botetourt County, Virginia",Botetourt County,VA,Virginia,Botetourt,NA,BOTETOURT,40220,"Roanoke, VA"
51520,"Bristol city, Virginia",Bristol,VA,Virginia,Bristol City,NA,BRISTOL CITY,28700,"Kingsport-Bristol, TN-VA"
51830,"Williamsburg city, Virginia",Williamsburg,VA,Virginia,Williamsburg City,NA,WILLIAMSBURG CITY,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51035,"Carroll County, Virginia",Carroll County,VA,Virginia,Carroll,NA,CARROLL,NA,NA
06067,"Sacramento County, California",Sacramento County,CA,California,Sacramento,NA,SACRAMENTO,40900,"Sacramento-Roseville-Folsom, CA"
06017,"El Dorado County, California",El Dorado County,CA,California,El Dorado,NA,EL DORADO,40900,"Sacramento-Roseville-Folsom, CA"
06053,"Monterey County, California",Monterey County,CA,California,Monterey,NA,MONTEREY,41500,"Salinas, CA"
06075,"San Francisco County, California",San Francisco County,CA,California,San Francisco,SAN FRANCISCO,SAN FRANCISCO,41860,"San Francisco-Oakland-Berkeley, CA"
06073,"San Diego County, California",San Diego County,CA,California,San Diego,NA,SAN DIEGO,41740,"San Diego-Chula Vista-Carlsbad, CA"
06107,"Tulare County, California",Tulare County,CA,California,Tulare,FRESNO,TULARE,47300,"Visalia, CA"
06023,"Humboldt County, California",Humboldt County,CA,California,Humboldt,NA,HUMBOLDT,21700,"Eureka-Arcata, CA"
06003,"Alpine County, California",Alpine County,CA,California,Alpine,NA,ALPINE,NA,NA
06039,"Madera County, California",Madera County,CA,California,Madera,FRESNO,MADERA,31460,"Madera, CA"
06087,"Santa Cruz County, California",Santa Cruz County,CA,California,Santa Cruz,NA,SANTA CRUZ,42100,"Santa Cruz-Watsonville, CA"
06105,"Trinity County, California",Trinity County,CA,California,Trinity,NA,TRINITY,NA,NA
06065,"Riverside County, California",Riverside County,CA,California,Riverside,LOS ANGELES,RIVERSIDE,40140,"Riverside-San Bernardino-Ontario, CA"
06071,"San Bernardino County, California",San Bernardino County,CA,California,San Bernardino,LOS ANGELES,SAN BERNARDINO,40140,"Riverside-San Bernardino-Ontario, CA"
06041,"Marin County, California",Marin County,CA,California,Marin,SAN FRANCISCO,MARIN,41860,"San Francisco-Oakland-Berkeley, CA"
06061,"Placer County, California",Placer County,CA,California,Placer,NA,PLACER,40900,"Sacramento-Roseville-Folsom, CA"
06089,"Shasta County, California",Shasta County,CA,California,Shasta,NA,SHASTA,39820,"Redding, CA"
06095,"Solano County, California",Solano County,CA,California,Solano,SAN FRANCISCO,SOLANO,46700,"Vallejo, CA"
06011,"Colusa County, California",Colusa County,CA,California,Colusa,NA,COLUSA,NA,NA
28029,"Copiah County, Mississippi",Copiah County,MS,Mississippi,Copiah,NA,COPIAH,27140,"Jackson, MS"
28049,"Hinds County, Mississippi",Hinds County,MS,Mississippi,Hinds,NA,HINDS,27140,"Jackson, MS"
28145,"Union County, Mississippi",Union County,MS,Mississippi,Union,NA,UNION,NA,NA
28139,"Tippah County, Mississippi",Tippah County,MS,Mississippi,Tippah,NA,TIPPAH,NA,NA
28035,"Forrest County, Mississippi",Forrest County,MS,Mississippi,Forrest,NA,FORREST,25620,"Hattiesburg, MS"
28071,"Lafayette County, Mississippi",Lafayette County,MS,Mississippi,Lafayette,NA,LAFAYETTE,37060,"Oxford, MS"
28087,"Lowndes County, Mississippi",Lowndes County,MS,Mississippi,Lowndes,NA,LOWNDES,18060,"Columbus, MS"
28157,"Wilkinson County, Mississippi",Wilkinson County,MS,Mississippi,Wilkinson,NA,WILKINSON,NA,NA
28065,"Jefferson Davis County, Mississippi",Jefferson Davis County,MS,Mississippi,Jefferson Davis,NA,JEFFERSON DAVIS,NA,NA
28123,"Scott County, Mississippi",Scott County,MS,Mississippi,Scott,NA,SCOTT,NA,NA
28163,"Yazoo County, Mississippi",Yazoo County,MS,Mississippi,Yazoo,NA,YAZOO,27140,"Jackson, MS"
28011,"Bolivar County, Mississippi",Bolivar County,MS,Mississippi,Bolivar,NA,BOLIVAR,17380,"Cleveland, MS"
28113,"Pike County, Mississippi",Pike County,MS,Mississippi,Pike,NA,PIKE,32620,"McComb, MS"
28131,"Stone County, Mississippi",Stone County,MS,Mississippi,Stone,NA,STONE,25060,"Gulfport-Biloxi, MS"
28069,"Kemper County, Mississippi",Kemper County,MS,Mississippi,Kemper,NA,KEMPER,32940,"Meridian, MS"
28133,"Sunflower County, Mississippi",Sunflower County,MS,Mississippi,Sunflower,NA,SUNFLOWER,26940,"Indianola, MS"
28001,"Adams County, Mississippi",Adams County,MS,Mississippi,Adams,NA,ADAMS,35020,"Natchez, MS-LA"
28033,"DeSoto County, Mississippi",DeSoto County,MS,Mississippi,DeSoto,NA,DESOTO,32820,"Memphis, TN-MS-AR"
42045,"Delaware County, Pennsylvania",Delaware County,PA,Pennsylvania,Delaware,PHILADELPHIA,DELAWARE,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
42111,"Somerset County, Pennsylvania",Somerset County,PA,Pennsylvania,Somerset,NA,SOMERSET,43740,"Somerset, PA"
29123,"Madison County, Missouri",Madison County,MO,Missouri,Madison,NA,MADISON,NA,NA
29217,"Vernon County, Missouri",Vernon County,MO,Missouri,Vernon,NA,VERNON,NA,NA
29147,"Nodaway County, Missouri",Nodaway County,MO,Missouri,Nodaway,NA,NODAWAY,32340,"Maryville, MO"
29041,"Chariton County, Missouri",Chariton County,MO,Missouri,Chariton,NA,CHARITON,NA,NA
